placement_number,record_id,title,authors_as_listed,arxiv,external_url,frontier_code,frontier,topic,paper_path,official_pdf_url
184,,"Theoretical Tools for Neutrino Scattering: Interplay between Lattice QCD, EFTs, Nuclear Physics, Phenomenology, and Neutrino Event Generators",L. Alvarez Ruso et al.,2203.09030,https://arxiv.org/abs/2203.09030,CompF,Computational,Theoretical Calculations and Simulations,papers/2203.09030.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.09030.pdf
185,,Celeritas: GPU-Accelerated Particle Transport for Detector Simulation in High Energy Physics Experiments,S. C. Tognini et al.,2203.09467,https://arxiv.org/abs/2203.09467,CompF,Computational,Theoretical Calculations and Simulations,papers/2203.09467.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.09467.pdf
186,,Discovering New Physics in Rare Kaon Decays,T. Blum et al.,2203.10998,https://arxiv.org/abs/2203.10998,CompF,Computational,Theoretical Calculations and Simulations,papers/2203.10998.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.10998.pdf
187,,Event Generators for High-Energy Physics Experiments,J. M. Campbell et al.,2203.11110,https://arxiv.org/abs/2203.11110,CompF,Computational,Theoretical Calculations and Simulations,papers/2203.11110.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.11110.pdf
188,,PetaVolts per Meter Plasmonics,A. A. Sahai et al.,2203.11623,https://arxiv.org/abs/2203.11623,CompF,Computational,Theoretical Calculations and Simulations,papers/2203.11623.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.11623.pdf
189,,Lattice QCD and the Computational Frontier,P. Boyle et al.,2204.00039,https://arxiv.org/abs/2204.00039,CompF,Computational,Theoretical Calculations and Simulations,papers/2204.00039.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2204.00039.pdf
190,,Computational Challenges for Multi-Loop Collider Phenomenology,F. Febres Cordero et al.,2204.04200,https://arxiv.org/abs/2204.04200,CompF,Computational,Theoretical Calculations and Simulations,papers/2204.04200.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2204.04200.pdf
191,,Impact of Lattice s(x)−sbar(x) Data in the CTEQ-TEA Global Analysis,T.-J. Hou et al.,2204.07944,https://arxiv.org/abs/2204.07944,CompF,Computational,Theoretical Calculations and Simulations,papers/2204.07944.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2204.07944.pdf
192,,A Lattice QCD Perspective on /weak //decays of b and c Quarks,P. Boyle et al.,2205.15373,https://arxiv.org/abs/2205.15373,CompF,Computational,Theoretical Calculations and Simulations,papers/2205.15373.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2205.15373.pdf
193,,Lattice QCD and Particle Physics,A. S. Kronfeld et al.,2207.07641,https://arxiv.org/abs/2207.07641,CompF,Computational,Theoretical Calculations and Simulations,papers/2207.07641.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2207.07641.pdf
194,,The LHC Olympics 2020: A Community Challenge for Anomaly Detection in High Energy Physics,G. Kasieczka et al.,2101.08320,https://arxiv.org/abs/2101.08320,CompF,Computational,Machine Learning,papers/2101.08320.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2101.08320.pdf
195,,Event-Based Anomaly Detection for New Physics Searches at the LHC using Machine Learning,S. V. Chekanov et al.,2111.12119,https://arxiv.org/abs/2111.12119,CompF,Computational,Machine Learning,papers/2111.12119.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2111.12119.pdf
196,,Applications of Machine Learning to Lattice Quantum Field Theory,D. Boyda et al.,2202.05838,https://arxiv.org/abs/2202.05838,CompF,Computational,Machine Learning,papers/2202.05838.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2202.05838.pdf
197,,Adaptive Machine Learning for Time-Varying Systems: Towards 6D Phase Space Diagnostics of Short Intense Charged Particle Beams,"A. Scheinker, S. Gessner.",2203.04391,https://arxiv.org/abs/2203.04391,CompF,Computational,Machine Learning,papers/2203.04391.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.04391.pdf
198,,Solving Simulation Systematics in and with AI/ML,B. Viren et al.,2203.06112,https://arxiv.org/abs/2203.06112,CompF,Computational,Machine Learning,papers/2203.06112.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.06112.pdf
199,,Symmetry Group Equivariant Architectures for Physics,A. Bogatskiy et al.,2203.06153,https://arxiv.org/abs/2203.06153,CompF,Computational,Machine Learning,papers/2203.06153.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.06153.pdf
200,,Improving Di-Higgs Sensitivity at Future Colliders in Hadronic Final States with Machine Learning,D. Diaz et al.,2203.07353,https://arxiv.org/abs/2203.07353,CompF,Computational,Machine Learning,papers/2203.07353.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07353.pdf
201,,Innovations in Trigger and Data Acquisition Systems for Next-Generation Physics Facilities,R. Bartoldus et al.,2203.07620,https://arxiv.org/abs/2203.07620,CompF,Computational,Machine Learning,papers/2203.07620.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07620.pdf
202,,Machine Learning and Cosmology,C. Dvorkin et al.,2203.08056,https://arxiv.org/abs/2203.08056,CompF,Computational,Machine Learning,papers/2203.08056.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08056.pdf
203,,New Directions for Surrogate Models and Differentiable Programming for High Energy Physics Detector Simulation,A. Adelmann et al.,2203.08806,https://arxiv.org/abs/2203.08806,CompF,Computational,Machine Learning,papers/2203.08806.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08806.pdf
204,,Deep learning applications for quality control in particle detector construction,N. Akchurin et al.,2203.08969,https://arxiv.org/abs/2203.08969,CompF,Computational,Machine Learning,papers/2203.08969.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08969.pdf
205,,"Graph Neural Networks in Particle Physics: Implementations, Innovations, and Challenges",S. Thais et al.,2203.12852,https://arxiv.org/abs/2203.12852,CompF,Computational,Machine Learning,papers/2203.12852.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.12852.pdf
206,,"Physics Community Needs, Tools, and Resources for Machine Learning",P. Harris et al.,2203.16255,https://arxiv.org/abs/2203.16255,CompF,Computational,Machine Learning,papers/2203.16255.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.16255.pdf
207,,Explainable AI for High Energy Physics,M. S. Neubauer et al.,2206.06632,https://arxiv.org/abs/2206.06632,CompF,Computational,Machine Learning,papers/2206.06632.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2206.06632.pdf
208,,Data Science and Machine Learning in Education,G. Benelli et al.,2207.09060,https://arxiv.org/abs/2207.09060,CompF,Computational,Machine Learning,papers/2207.09060.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2207.09060.pdf
209,,Interpretable Uncertainty Quantification in AI for HEP,T. Y. Chen et al.,2208.03284,https://arxiv.org/abs/2208.03284,CompF,Computational,Machine Learning,papers/2208.03284.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2208.03284.pdf
210,,Deploying In-Network Caches in Support of Distributed Scientific Data Sharing,A. Sim et al.,2203.06843,https://arxiv.org/abs/2203.06843,CompF,Computational,Storage and Processing Resource Access,papers/2203.06843.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.06843.pdf
211,,Data Storage for HEP Experiments in the Era of High-Performance Computing,A. Bashyal et al.,2203.07885,https://arxiv.org/abs/2203.07885,CompF,Computational,Storage and Processing Resource Access,papers/2203.07885.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07885.pdf
212,,Analysis Facilities for HL-LHC,D. Benjamin et al.,2203.08010,https://arxiv.org/abs/2203.08010,CompF,Computational,Storage and Processing Resource Access,papers/2203.08010.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08010.pdf
213,,Data Transfer and Network Services Management for Domain Science Workflows,T. Lehman et al.,2203.08280,https://arxiv.org/abs/2203.08280,CompF,Computational,Storage and Processing Resource Access,papers/2203.08280.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08280.pdf
214,,Towards an HPC Complementary Computing Facility,K. Herner et al.,2203.08861,https://arxiv.org/abs/2203.08861,CompF,Computational,Storage and Processing Resource Access,papers/2203.08861.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08861.pdf
215,,Analysis Cyberinfrastructure: Challenges and Opportunities,K. Lannon et al.,2203.08811,https://arxiv.org/abs/2203.08811,CompF,Computational,Storage and Processing Resource Access,papers/2203.08811.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08811.pdf
216,,Collaborative Computing Support for Analysis Facilities Exploiting Software as Infrastructure Techniques,M. Acosta Flechas et al.,2203.10161,https://arxiv.org/abs/2203.10161,CompF,Computational,Storage and Processing Resource Access,papers/2203.10161.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.10161.pdf
217,,Jas4pp - a Data-Analysis Framework for Physics and Detector Studies,S. V. Chekanov et al.,2011.05329,https://arxiv.org/abs/2011.05329,CompF,Computational,End User Analysis,papers/2011.05329.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2011.05329.pdf
218,,"HL-LHC Computing Review Stage 2, Common Software Projects: Data Science Tools for Analysis",J. Pivarski et al.,2202.02194,https://arxiv.org/abs/2202.02194,CompF,Computational,End User Analysis,papers/2202.02194.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2202.02194.pdf
219,,Belle II Grid-Based User Analysis,J. V. Bennett et al.,2203.07564,https://arxiv.org/abs/2203.07564,CompF,Computational,End User Analysis,papers/2203.07564.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07564.pdf
220,,Analysis Description Language: A DSL for HEP Analysis,H. B. Prosper et al.,2203.09886,https://arxiv.org/abs/2203.09886,CompF,Computational,End User Analysis,papers/2203.09886.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.09886.pdf
221,,The CAFAna Framework for Neutrino Analysis,C. Backhouse et al.,2203.13768,https://arxiv.org/abs/2203.13768,CompF,Computational,End User Analysis,papers/2203.13768.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.13768.pdf
222,,Tensor Networks for High Energy Physics,Y. Meurice et al.,2203.04902,https://arxiv.org/abs/2203.04902,CompF,Computational,Quantum Computing,papers/2203.04902.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.04902.pdf
223,,Ion Coulomb Crystals in Storage Rings for Quantum Information Science,S. Brooks et al.,2203.06809,https://arxiv.org/abs/2203.06809,CompF,Computational,Quantum Computing,papers/2203.06809.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.06809.pdf
224,,Quantum Computing Systems and Software for High-energy Physics Research,T. S. Humble et al.,2203.07091,https://arxiv.org/abs/2203.07091,CompF,Computational,Quantum Computing,papers/2203.07091.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07091.pdf
225,,Quantum Computing for Data Analysis in High-Energy Physics,A. Delgado et al.,2203.08805,https://arxiv.org/abs/2203.08805,CompF,Computational,Quantum Computing,papers/2203.08805.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08805.pdf
226,,Simulations for the Development of Quantum Computational Devices for HEP,"J. B. Kowalkowski, A. L. Lyon.",2203.09740,https://arxiv.org/abs/2203.09740,CompF,Computational,Quantum Computing,papers/2203.09740.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.09740.pdf
227,,"Searches for New Particles, Dark Matter, and Gravitational Waves with SRF Cavities",A. Berlin et al.,2203.12714,https://arxiv.org/abs/2203.12714,CompF,Computational,Quantum Computing,papers/2203.12714.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.12714.pdf
228,,Quantum Networks for High Energy Physics,A. Derevianko et al.,2203.16979,https://arxiv.org/abs/2203.16979,CompF,Computational,Quantum Computing,papers/2203.16979.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.16979.pdf
229,,Quantum Simulation for High Energy Physics,C. W. Bauer et al.,2204.03381,https://arxiv.org/abs/2204.03381,CompF,Computational,Quantum Computing,papers/2204.03381.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2204.03381.pdf
230,,Quantum Computing Hardware for HEP Algorithms and Sensing,M. S. Alam et al.,2204.08605,https://arxiv.org/abs/2204.08605,CompF,Computational,Quantum Computing,papers/2204.08605.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2204.08605.pdf
231,,Data Preservation for Cosmology,M. Alvarez et al.,2203.08113,https://arxiv.org/abs/2203.08113,CompF,Computational,Reinterpretation and Long-Term Preservation of Data and Code,papers/2203.08113.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08113.pdf
232,,"Data and Analysis Preservation, Recasting, and Reinterpretation",S. Bailey et al.,2203.10057,https://arxiv.org/abs/2203.10057,CompF,Computational,Reinterpretation and Long-Term Preservation of Data and Code,papers/2203.10057.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.10057.pdf
233,,"When, Where, and How to Open Data: A Personal Perspective",B. Nachman.,2208.07910,https://arxiv.org/abs/2208.07910,CompF,Computational,Reinterpretation and Long-Term Preservation of Data and Code,papers/2208.07910.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2208.07910.pdf
234,,"CMB-HD: An Ultra-Deep, High Resolution Millimeter Wave Survey over Half the Sky",N. Sehgal et al.,1906.10134,https://arxiv.org/abs/1906.10134,CF,Cosmic,General - centered on this frontier:,papers/1906.10134.pdf,https://www.slac.stanford.edu/econf/C210711/papers/1906.10134.pdf
235,,"The Forward Physics Facility: Sites, Experiments, and Physics Potential",L. A. Anchordoqui et al.,2109.10905,https://arxiv.org/abs/2109.10905,CF,Cosmic,General - centered on this frontier:,papers/2109.10905.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2109.10905.pdf
236,,The Forward Physics Facility at the High-Luminosity LHC,J. L. Feng et al.,2203.05090,https://arxiv.org/abs/2203.05090,CF,Cosmic,General - centered on this frontier:,papers/2203.05090.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.05090.pdf
237,,Early-Universe Model Building,P. Asadi et al.,2203.06680,https://arxiv.org/abs/2203.06680,CF,Cosmic,General - centered on this frontier:,papers/2203.06680.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.06680.pdf
238,,CMB-S4 White Paper,K. Abazajian et al.,2203.08024,https://arxiv.org/abs/2203.08024,CF,Cosmic,General - centered on this frontier:,papers/2203.08024.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08024.pdf
239,,Precision Studies of Spacetime Symmetries and Gravitational Physics,E. Adelberger et al.,2203.09691,https://arxiv.org/abs/2203.09691,CF,Cosmic,General - centered on this frontier:,papers/2203.09691.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.09691.pdf
240,,"Searches for New Particles, Dark Matter, and Gravitational Waves with SRF Cavities",A. Berlin et al.,2203.12714,https://arxiv.org/abs/2203.12714,CF,Cosmic,General - centered on this frontier:,papers/2203.12714.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.12714.pdf
241,,"Quantum Sensors for HEP Science – Interferometers, Mechanics, Traps, and Clocks",D. Carney et al.,2203.07250,https://arxiv.org/abs/2203.07250,CF,Cosmic,General - cross-listed:,papers/2203.07250.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07250.pdf
242,,Detector and Beamline Simulation for Next-Generation High Energy Physics Experiments,S. Banerjee,2203.07614,https://arxiv.org/abs/2203.07614,CF,Cosmic,General - cross-listed:,papers/2203.07614.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07614.pdf
243,,Software and Computing for Small HEP Experiments,D. Casper et al.,2203.07645,https://arxiv.org/abs/2203.07645,CF,Cosmic,General - cross-listed:,papers/2203.07645.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07645.pdf
244,,Data Preservation for Cosmology,M. Alvarez et al.,2203.08113,https://arxiv.org/abs/2203.08113,CF,Cosmic,General - cross-listed:,papers/2203.08113.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08113.pdf
245,,The Sanford Underground Research Facility,J. Heise.,2203.08293,https://arxiv.org/abs/2203.08293,CF,Cosmic,General - cross-listed:,papers/2203.08293.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08293.pdf
246,,High Energy & High Luminosity γγ Colliders,E. Barzi et al.,2203.08353,https://arxiv.org/abs/2203.08353,CF,Cosmic,General - cross-listed:,papers/2203.08353.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08353.pdf
247,,The European Spallation Source Neutrino Super Beam,A. Alekou et al.,2203.08803,https://arxiv.org/abs/2203.08803,CF,Cosmic,General - cross-listed:,papers/2203.08803.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08803.pdf
248,,A Facility for Low-Radioactivity Underground Argon,H. O. Back et al.,2203.09734,https://arxiv.org/abs/2203.09734,CF,Cosmic,General - cross-listed:,papers/2203.09734.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.09734.pdf
249,,Theory Frontier: Theory Meets the Lab,R. Essig et al.,2203.10089,https://arxiv.org/abs/2203.10089,CF,Cosmic,General - cross-listed:,papers/2203.10089.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.10089.pdf
250,,In Search of Excellence and Equity in Physics,E. Barzi et al.,2203.10393,https://arxiv.org/abs/2203.10393,CF,Cosmic,General - cross-listed:,papers/2203.10393.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.10393.pdf
251,,Event Generators for High-Energy Physics Experiments,J. M. Campbell et al.,2203.11110,https://arxiv.org/abs/2203.11110,CF,Cosmic,General - cross-listed:,papers/2203.11110.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.11110.pdf
252,,Japan’s Strategy for Future Projects in High Energy Physics,M. Endo et al.,2203.13979,https://arxiv.org/abs/2203.13979,CF,Cosmic,General - cross-listed:,papers/2203.13979.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.13979.pdf
253,,Superconducting Nanowire Single-Photon Detectors and Effect of Accumulation and Unsteady Releases of Excess Energy in Materials,S. Pereverzev et al.,2204.01919,https://arxiv.org/abs/2204.01919,CF,Cosmic,General - cross-listed:,papers/2204.01919.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2204.01919.pdf
254,,Lattice QCD and Particle Physics,A. S. Kronfeld et al.,2207.07641,https://arxiv.org/abs/2207.07641,CF,Cosmic,General - cross-listed:,papers/2207.07641.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2207.07641.pdf
255,,How Community Agreements Can Improve Workplace Culture in Physics,E. Barzi et al.,2209.06755,https://arxiv.org/abs/2209.06755,CF,Cosmic,General - cross-listed:,papers/2209.06755.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2209.06755.pdf
256,,Hidden Sectors and a Multi-Temperature Universe,A. Aboubrahim et al.,2106.06494,https://arxiv.org/abs/2106.06494,CF,Cosmic,Dark Matter: Particle-like,papers/2106.06494.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2106.06494.pdf
257,,Higgs Portal Vector Dark Matter Interpretation: Review of Effective Field Theory Approach and Ultraviolet Complete Models,M. Zaazoua et al.,2107.01252,https://arxiv.org/abs/2107.01252,CF,Cosmic,Dark Matter: Particle-like,papers/2107.01252.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2107.01252.pdf
258,,Portal Matter and Dark Sector Phenomenology at Colliders,T. G. Rizzo.,2202.02222,https://arxiv.org/abs/2202.02222,CF,Cosmic,Dark Matter: Particle-like,papers/2202.02222.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2202.02222.pdf
259,,A Next-Generation Liquid Xenon Observatory for Dark Matter and Neutrino Physics,J. Aalbers et al.,2203.02309,https://arxiv.org/abs/2203.02309,CF,Cosmic,Dark Matter: Particle-like,papers/2203.02309.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.02309.pdf
260,,Light Dark Matter Detection with Hydrogen-Rich Crystals and Low-Tc TES Detectors,G. Wang et al.,2201.04219,https://arxiv.org/abs/2201.04219,CF,Cosmic,Dark Matter: Particle-like,papers/2201.04219.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2201.04219.pdf
261,,Passive Low Energy Nuclear Recoil Detection with Color Centers – PALEOCCENE,K. Alfonso et al.,2203.05525,https://arxiv.org/abs/2203.05525,CF,Cosmic,Dark Matter: Particle-like,papers/2203.05525.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.05525.pdf
262,,"Recoil Imaging for Dark Matter, Neutrinos, and Physics Beyond the Standard Model",C. A. J. O'Hare et al.,2203.05914,https://arxiv.org/abs/2203.05914,CF,Cosmic,Dark Matter: Particle-like,papers/2203.05914.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.05914.pdf
263,,Directional Detection of Dark Matter Using Solid-State Quantum Sensing,R. Ebadi et al.,2203.06037,https://arxiv.org/abs/2203.06037,CF,Cosmic,Dark Matter: Particle-like,papers/2203.06037.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.06037.pdf
264,,DUNE Physics Summary,A. Abed Abud et al. (DUNE Collaboration),2203.06100,https://arxiv.org/abs/2203.06100,CF,Cosmic,Dark Matter: Particle-like,papers/2203.06100.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.06100.pdf
265,,High-Pressure TPCs in Pressurized Caverns: Opportunities in Dark Matter and Neutrino Physics,B. Monreal.,2203.06262,https://arxiv.org/abs/2203.06262,CF,Cosmic,Dark Matter: Particle-like,papers/2203.06262.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.06262.pdf
266,,Ultraheavy particle dark matter,D. Carney et al.,2203.06508,https://arxiv.org/abs/2203.06508,CF,Cosmic,Dark Matter: Particle-like,papers/2203.06508.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.06508.pdf
267,,Synergies between Dark Matter Searches and Multiwavelength/Multimessenger Astrophysics,S. Ando et al.,2203.06781,https://arxiv.org/abs/2203.06781,CF,Cosmic,Dark Matter: Particle-like,papers/2203.06781.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.06781.pdf
268,,Puzzling Excesses in Dark Matter Searches and How to Resolve Them,R. K. Leane et al.,2203.06859,https://arxiv.org/abs/2203.06859,CF,Cosmic,Dark Matter: Particle-like,papers/2203.06859.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.06859.pdf
269,,The Landscape of Cosmic-Ray and High-Energy Photon Probes of Particle Dark Matter,T. Aramaki et al.,2203.06894,https://arxiv.org/abs/2203.06894,CF,Cosmic,Dark Matter: Particle-like,papers/2203.06894.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.06894.pdf
270,,The Windchime Project,A. Attanasio et al. (Windchime Collaboration),2203.07242,https://arxiv.org/abs/2203.07242,CF,Cosmic,Dark Matter: Particle-like,papers/2203.07242.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07242.pdf
271,,WIMP Dark Matter at High Energy Muon Colliders,T. Han et al.,2203.07351,https://arxiv.org/abs/2203.07351,CF,Cosmic,Dark Matter: Particle-like,papers/2203.07351.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07351.pdf
272,,Light Dark Matter Direct Detection at the Interface With Condensed Matter Physics,A. Mitridate et al.,2203.07492,https://arxiv.org/abs/2203.07492,CF,Cosmic,Dark Matter: Particle-like,papers/2203.07492.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07492.pdf
273,,The International Linear Collider,A. Aryshev et al.,2203.07622,https://arxiv.org/abs/2203.07622,CF,Cosmic,Dark Matter: Particle-like,papers/2203.07622.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07622.pdf
274,,Calibrations and Backgrounds for Dark Matter Direct Detection,D. Baxter et al.,2203.07623,https://arxiv.org/abs/2203.07623,CF,Cosmic,Dark Matter: Particle-like,papers/2203.07623.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07623.pdf
275,,"Modeling, Statistics, Simulations, and Computing Needs for Direct Dark Matter Detection",Y. Kahn et al.,2203.07700,https://arxiv.org/abs/2203.07700,CF,Cosmic,Dark Matter: Particle-like,papers/2203.07700.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07700.pdf
276,,U(1)_T3R Extension of Standard Model: A Sub-GeV Dark Matter Model,B. Dutta et al.,2203.07786,https://arxiv.org/abs/2203.07786,CF,Cosmic,Dark Matter: Particle-like,papers/2203.07786.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07786.pdf
277,,"Introduction to a Low-Mass Dark Matter Project,ALETHEIA: A Liquid hElium Time projection cHambEr In dArk matter",J. Liao et al.,2203.07901,https://arxiv.org/abs/2203.07901,CF,Cosmic,Dark Matter: Particle-like,papers/2203.07901.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07901.pdf
278,,Dark Matter Direct Detection to the Neutrino Fog,D.S. Akerib et al.,2203.08084,https://arxiv.org/abs/2203.08084,CF,Cosmic,Dark Matter: Particle-like,papers/2203.08084.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08084.pdf
279,,The Landscape of Low-Threshold Dark Matter Direct Detection in the Next Decade,R. Essig et al.,2203.08297,https://arxiv.org/abs/2203.08297,CF,Cosmic,Dark Matter: Particle-like,papers/2203.08297.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08297.pdf
280,,A Strategy for Low-Mass Dark Matter Searches with Cryogenic Detectors in the SuperCDMS SNOLAB Facility,M. F. Albakry et al.,2203.08463,https://arxiv.org/abs/2203.08463,CF,Cosmic,Dark Matter: Particle-like,papers/2203.08463.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08463.pdf
281,,Low Background kTon-Scale Liquid Argon Time Projection Chambers,A. Avasthi et al.,2203.08821,https://arxiv.org/abs/2203.08821,CF,Cosmic,Dark Matter: Particle-like,papers/2203.08821.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08821.pdf
282,,Physics with the Phase-2 ATLAS and CMS Detectors,ATLAS and CMS Collaborations.,,https://cds.cern.ch/record/2806962,CF,Cosmic,Dark Matter: Particle-like,papers/CDS-2806962.pdf,https://www.slac.stanford.edu/econf/C210711/papers/CDS-2806962.pdf
283,,The COHERENT Experimental Program,D. Akimov et al.,2204.04575,https://arxiv.org/abs/2204.04575,CF,Cosmic,Dark Matter: Particle-like,papers/2204.04575.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2204.04575.pdf
284,,A Grand Scan of the pMSSM Parameter Space for Snowmass 2021,J. Dickinson et al.,2207.05103,https://arxiv.org/abs/2207.05103,CF,Cosmic,Dark Matter: Particle-like,papers/2207.05103.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2207.05103.pdf
285,,Dark Sector Studies with Neutrino Beams,B. Batell et al.,2207.06898,https://arxiv.org/abs/2207.06898,CF,Cosmic,Dark Matter: Particle-like,papers/2207.06898.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2207.06898.pdf
286,,Exploring Dark Sector Portals with High Intensity Experiments,B. Batell et al.,2207.06905,https://arxiv.org/abs/2207.06905,CF,Cosmic,Dark Matter: Particle-like,papers/2207.06905.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2207.06905.pdf
287,,Scintillating Bubble Chambers: Liquid-Noble Bubble Chambers for Dark Matter and CEνNS Detection,E. Alfonso-Pita et al.,2207.12400,https://arxiv.org/abs/2207.12400,CF,Cosmic,Dark Matter: Particle-like,papers/2207.12400.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2207.12400.pdf
288,,Physics Opportunities in the ORNL Spallation Neutron Source Second Target Station Era,J. Asaadi et al.,2209.02883,https://arxiv.org/abs/2209.02883,CF,Cosmic,Dark Matter: Particle-like,papers/2209.02883.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2209.02883.pdf
