number,record_id,title,authors_as_listed,arxiv,external_url,frontiers,topics,placement_count,official_pdf_urls
95,arxiv:2203.07506,Cosmology and Fundamental Physics from the Three-Dimensional Large Scale Structure,S. Ferraro et al.,2203.07506,https://arxiv.org/abs/2203.07506,CF,CF: Dark Energy and Cosmic Acceleration: The Modern Universe,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.07506.pdf
96,arxiv:2203.07629,Cosmology at the Theory Frontier,R. Flauger et al.,2203.07629,https://arxiv.org/abs/2203.07629,TF,"TF: String Theory, Quantum Gravity, and Black Holes",1,https://www.slac.stanford.edu/econf/C210711/papers/2203.07629.pdf
97,arxiv:2203.06142,"Cosmology Intertwined: A Review of the Particle Physics, Astrophysics, and Cosmology Associated with the Cosmological Tensions and Anomalies",E. Abdalla et al.,2203.06142,https://arxiv.org/abs/2203.06142,CF,CF: Cosmic Probes of Fundamental Physics,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.06142.pdf
98,arxiv:2203.07258,Cosmology with Millimeter-Wave Line Intensity Mapping,K. S. Karkare et al.,2203.07258,https://arxiv.org/abs/2203.07258,CF,CF: Dark Energy and Cosmic Acceleration: Cosmic Dawn and Before,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.07258.pdf
99,arxiv:2209.07429,CP Violation in b and c Quark Decays,A. Dery et al.,2209.07429,https://arxiv.org/abs/2209.07429,RPF,RPF: Weak Decays of b and c Quarks,1,https://www.slac.stanford.edu/econf/C210711/papers/2209.07429.pdf
100,arxiv:2203.10431,"Critical Problems of Energy Frontier Muon Colliders: Optics, Magnets, and Radiation",Yu. I. Alexahin et al.,2203.10431,https://arxiv.org/abs/2203.10431,AF,AF: Accelerator Technology - Magnets,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.10431.pdf
101,arxiv:2203.06146,Cryogenic User Facilities for R&D on Noble Liquid Detectors and Low Temperature Devices,Y. Li et al.,2203.06146,https://arxiv.org/abs/2203.06146,IF,IF: Cross-Cutting Issues and Systems Integration,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.06146.pdf
102,arxiv:2203.08192,Current Status and Future Prospects for the Light Dark Matter eXperiment (LDMX),T. Åkesson et al.,2203.08192,https://arxiv.org/abs/2203.08192,RPF,RPF: Dark Sector Studies at High Intensities,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08192.pdf
103,arxiv:2203.08084,Dark Matter Direct Detection to the Neutrino Fog,D.S. Akerib et al.,2203.08084,https://arxiv.org/abs/2203.08084,CF,CF: Dark Matter: Particle-like,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08084.pdf
104,arxiv:2203.07984,Dark Matter In Extreme Astrophysical Environments,M. Baryakhtar et al.,2203.07984,https://arxiv.org/abs/2203.07984,CF | TF,CF: Dark Matter: Cosmic Probes | TF: Astro-Particle Physics and Cosmology,2,https://www.slac.stanford.edu/econf/C210711/papers/2203.07984.pdf
105,arxiv:2203.07354,Dark Matter Physics from Halo Measurements,K. Bechtol et al.,2203.07354,https://arxiv.org/abs/2203.07354,CF,CF: Dark Matter: Cosmic Probes,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.07354.pdf
106,arxiv:2203.07064,Dark Matter Physics from the CMB-S4 Experiment,C. Dvorkin et al.,2203.07064,https://arxiv.org/abs/2203.07064,CF,CF: Dark Matter: Cosmic Probes,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.07064.pdf
107,arxiv:2207.06898,Dark Sector Studies with Neutrino Beams,B. Batell et al.,2207.06898,https://arxiv.org/abs/2207.06898,CF | NF | RPF | TF,CF: Dark Matter: Particle-like | NF: Neutrinos Beyond the Standard Model | RPF: Dark Sector Studies at High Intensities | TF: Theory of Neutrino Physics,4,https://www.slac.stanford.edu/econf/C210711/papers/2207.06898.pdf
108,arxiv:2203.08338,Dark-matter And Neutrino Computation Explored (DANCE) Community Input to Snowmass,A. Roberts et al.,2203.08338,https://arxiv.org/abs/2203.08338,CompF,CompF: General - centered on this frontier:,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08338.pdf
109,arxiv:2203.10057,"Data and Analysis Preservation, Recasting, and Reinterpretation",S. Bailey et al.,2203.10057,https://arxiv.org/abs/2203.10057,CompF | TF,CompF: Reinterpretation and Long-Term Preservation of Data and Code | TF: Collider Phenomenology,2,https://www.slac.stanford.edu/econf/C210711/papers/2203.10057.pdf
110,arxiv:2203.08113,Data Preservation for Cosmology,M. Alvarez et al.,2203.08113,https://arxiv.org/abs/2203.08113,CF | CompF | TF,CF: General - cross-listed: | CompF: Reinterpretation and Long-Term Preservation of Data and Code | TF: Astro-Particle Physics and Cosmology,3,https://www.slac.stanford.edu/econf/C210711/papers/2203.08113.pdf
111,arxiv:2207.09060,Data Science and Machine Learning in Education,G. Benelli et al.,2207.09060,https://arxiv.org/abs/2207.09060,CEF | CompF,CEF: Physics Education | CompF: Machine Learning,2,https://www.slac.stanford.edu/econf/C210711/papers/2207.09060.pdf
112,arxiv:2203.07885,Data Storage for HEP Experiments in the Era of High-Performance Computing,A. Bashyal et al.,2203.07885,https://arxiv.org/abs/2203.07885,CompF,CompF: Storage and Processing Resource Access,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.07885.pdf
113,arxiv:2203.08280,Data Transfer and Network Services Management for Domain Science Workflows,T. Lehman et al.,2203.08280,https://arxiv.org/abs/2203.08280,CompF,CompF: Storage and Processing Resource Access,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08280.pdf
114,arxiv:2203.07946,Data-Driven Cosmology,M. A. Amin et al.,2203.07946,https://arxiv.org/abs/2203.07946,TF,TF: Astro-Particle Physics and Cosmology,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.07946.pdf
115,arxiv:2203.08969,Deep learning applications for quality control in particle detector construction,N. Akchurin et al.,2203.08969,https://arxiv.org/abs/2203.08969,CompF,CompF: Machine Learning,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08969.pdf
116,arxiv:2203.08064,Dependence of the Top-Quark Mass Measured in Top-Quark Pair Production on the Parton Distribution Functions at the LHC and Future Colliders,J. Gombas et al.,2203.08064,https://arxiv.org/abs/2203.08064,EF,EF: Heavy Flavor and Top Quark Physics,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08064.pdf
117,arxiv:2203.06843,Deploying In-Network Caches in Support of Distributed Scientific Data Sharing,A. Sim et al.,2203.06843,https://arxiv.org/abs/2203.06843,CompF,CompF: Storage and Processing Resource Access,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.06843.pdf
118,arxiv:2203.08276,Design Considerations for Fermilab Multi-MW Proton Facility in the DUNE/LBNF Era,J. Eldred et al.,2203.08276,https://arxiv.org/abs/2203.08276,AF | NF | RPF,AF: Accelerators for Neutrinos | NF: Artificial Neutrino Sources | RPF: Charged Lepton Flavor Violation,3,https://www.slac.stanford.edu/econf/C210711/papers/2203.08276.pdf
119,arxiv:2203.07972,Detection of Early-Universe Gravitational Wave Signatures and Fundamental Physics,R. Caldwell et al.,2203.07972,https://arxiv.org/abs/2203.07972,CF | EF,CF: Cosmic Probes of Fundamental Physics | EF: Higgs Boson as a Portal to New Physics,2,https://www.slac.stanford.edu/econf/C210711/papers/2203.07972.pdf
120,arxiv:2203.07614,Detector and Beamline Simulation for Next-Generation High Energy Physics Experiments,S. Banerjee et al.,2203.07614,https://arxiv.org/abs/2203.07614,CF | CompF | EF | IF | NF | RPF,CF: General - cross-listed: | CompF: Theoretical Calculations and Simulations | EF: General - cross-listed | IF: General - centered on this frontier | NF: General - cross-listed | RPF: General - cross-listed,6,https://www.slac.stanford.edu/econf/C210711/papers/2203.07614.pdf
121,arxiv:2203.07352,"Development and Demonstration of Next Generation Technology for Nb_3Sn Accelerator Magnets with Lower Cost, Improved Performance Uniformity, and Higher Operating Point in the 12-14 T Range",G. Ambrosio et al.,2203.07352,https://arxiv.org/abs/2203.07352,AF,AF: Accelerator Technology - Magnets,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.07352.pdf
122,arxiv:2203.07144,DIMUS: Super-Compact Dimuonium Spectroscopy Collider at Fermilab,P. J. Fox et al.,2203.07144,https://arxiv.org/abs/2203.07144,AF | RPF | TF,AF: General - centered on this frontier | RPF: General - centered on this frontier | TF: General - cross-listed,3,https://www.slac.stanford.edu/econf/C210711/papers/2203.07144.pdf
123,arxiv:2203.06037,Directional Detection of Dark Matter Using Solid-State Quantum Sensing,R. Ebadi et al.,2203.06037,https://arxiv.org/abs/2203.06037,CF | IF,CF: Dark Matter: Particle-like | IF: Quantum Sensors,2,https://www.slac.stanford.edu/econf/C210711/papers/2203.06037.pdf
124,arxiv:2203.08127,Directly Probing the CP-Structure of the Higgs-Top Yukawa at HL-LHC and Future Colliders,R. K. Barman et al.,2203.08127,https://arxiv.org/abs/2203.08127,EF | TF,EF: Higgs Boson Properties and Couplings | TF: Collider Phenomenology,2,https://www.slac.stanford.edu/econf/C210711/papers/2203.08127.pdf
125,arxiv:2203.10998,Discovering New Physics in Rare Kaon Decays,T. Blum et al.,2203.10998,https://arxiv.org/abs/2203.10998,CompF | RPF | TF,CompF: Theoretical Calculations and Simulations | RPF: Weak Decays of Strange and Light Quarks | TF: Lattice Gauge Theory,3,https://www.slac.stanford.edu/econf/C210711/papers/2203.10998.pdf
126,arxiv:2203.06114,Displaced Fat-Jets and Tracks to Probe Boosted Right-Handed Neutrinos in the U(1)_{B−L} Model,R. Padhan et al.,2203.06114,https://arxiv.org/abs/2203.06114,EF | TF,EF: Beyond the Standard Model - More General Explorations | TF: Collider Phenomenology,2,https://www.slac.stanford.edu/econf/C210711/papers/2203.06114.pdf
127,arxiv:2203.12035,Displaying Dark Matter Constraints from Colliders with Varying Simplified Model Parameters,A. Albert et al.,2203.12035,https://arxiv.org/abs/2203.12035,EF,EF: Beyond the Standard Model - Dark Matter at Colliders,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.12035.pdf
128,arxiv:2203.04312,Dual-Readout Calorimetry for Future Experiments Probing Fundamental Physics,I. Pezzotti et al.,2203.04312,https://arxiv.org/abs/2203.04312,IF,IF: Calorimetry,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.04312.pdf
129,arxiv:2203.06100,DUNE Physics Summary,A. Abed Abud et al. (DUNE Collaboration),2203.06100,https://arxiv.org/abs/2203.06100,CF | NF | RPF,CF: Dark Matter: Particle-like | NF: General - centered on this frontier | RPF: Baryon and Lepton Number Violation,3,https://www.slac.stanford.edu/econf/C210711/papers/2203.06100.pdf
130,arxiv:2203.06104,DUNE Software and High Performance Computing,B. Fleming et al.,2203.06104,https://arxiv.org/abs/2203.06104,CompF | NF,CompF: Experimental Algorithm Parallelization | NF: Neutrino Detectors,2,https://www.slac.stanford.edu/econf/C210711/papers/2203.06104.pdf
131,arxiv:2203.06680,Early-Universe Model Building,P. Asadi et al.,2203.06680,https://arxiv.org/abs/2203.06680,CF | TF,CF: General - centered on this frontier: | TF: Astro-Particle Physics and Cosmology,2,https://www.slac.stanford.edu/econf/C210711/papers/2203.06680.pdf
132,arxiv:2203.10110,Effective Field Theories for Condensed Matter Systems,T. Brauner et al.,2203.10110,https://arxiv.org/abs/2203.10110,TF,TF: Effective Field Theory Techniques,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.10110.pdf
133,arxiv:2203.08232,Effective Field Theories in Cosmology,G. Cabass et al.,2203.08232,https://arxiv.org/abs/2203.08232,TF,TF: Effective Field Theory Techniques,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08232.pdf
134,arxiv:2206.14249,Effective Field Theories of Gravity and Compact Binary Dynamics,W. D. Goldberger.,2206.14249,https://arxiv.org/abs/2206.14249,TF,TF: Effective Field Theory Techniques,1,https://www.slac.stanford.edu/econf/C210711/papers/2206.14249.pdf
135,arxiv:2203.07336,Effective Field Theory Matching and Applications,T. Cohen et al.,2203.07336,https://arxiv.org/abs/2203.07336,TF,TF: Effective Field Theory Techniques,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.07336.pdf
136,arxiv:2203.08103,Electric Dipole Moments and the Search for New Physics,R. Alarcon et al.,2203.08103,https://arxiv.org/abs/2203.08103,RPF,RPF: Fundamental Physics in Small Experiments,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08103.pdf
137,arxiv:2203.13199,Electron Ion Collider for High Energy Physics,R. Abdul Khalek et al.,2203.13199,https://arxiv.org/abs/2203.13199,AF | EF | IF | TF,AF: General - centered on this frontier | EF: QCD and Strong Interactions - Heavy Ions | IF: General - cross-listed | TF: General - cross-listed,4,https://www.slac.stanford.edu/econf/C210711/papers/2203.13199.pdf
138,arxiv:2203.06853,Electron Scattering and Neutrino Physics,A. Ankowski et al.,2203.06853,https://arxiv.org/abs/2203.06853,NF | TF,NF: Neutrino Interaction Cross Sections | TF: Theory of Neutrino Physics,2,https://www.slac.stanford.edu/econf/C210711/papers/2203.06853.pdf
139,arxiv:2207.08875,Electron Sources for Accelerators,D. Filippetto et al.,2207.08875,https://arxiv.org/abs/2207.08875,AF,AF: Accelerator Technology - Targets and Sources,1,https://www.slac.stanford.edu/econf/C210711/papers/2207.08875.pdf
140,arxiv:2204.00149,Electronics for Fast Timing,D. Braga et al.,2204.00149,https://arxiv.org/abs/2204.00149,IF,IF: Electronics and ASICs,1,https://www.slac.stanford.edu/econf/C210711/papers/2204.00149.pdf
141,arxiv:2203.11129,Electroweak Fragmentation at High Energies,T. Han et al.,2203.11129,https://arxiv.org/abs/2203.11129,EF | TF,EF: Electroweak Precision Physics and Constraining New Physics | TF: Collider Phenomenology,2,https://www.slac.stanford.edu/econf/C210711/papers/2203.11129.pdf
142,arxiv:2209.01995,Elementary Particle Non-Perturbative Mass Generation. A Step towards a Beyond-the-Standard-Model Model,G. Rossi.,2209.01995,https://arxiv.org/abs/2209.01995,EF,EF: Beyond the Standard Model - More General Explorations,1,https://www.slac.stanford.edu/econf/C210711/papers/2209.01995.pdf
143,arxiv:2204.07285,Enabling Capabilities for Infrastructure and Workforce in Electronics and ASICs,M. Artuso et al.,2204.07285,https://arxiv.org/abs/2204.07285,IF,IF: Electronics and ASICs,1,https://www.slac.stanford.edu/econf/C210711/papers/2204.07285.pdf
144,arxiv:2204.01992,Enabling Flagship Dark Energy Experiments to Reach their Full Potential,J. A. Blazek et al.,2204.01992,https://arxiv.org/abs/2204.01992,CF,CF: Dark Energy and Cosmic Acceleration: The Modern Universe,1,https://www.slac.stanford.edu/econf/C210711/papers/2204.01992.pdf
145,arxiv:2203.06255,Enabling U.S. Participation in Future Higgs Factories,K. Black et al.,2203.06255,https://arxiv.org/abs/2203.06255,EF,EF: General - centered on this frontier,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.06255.pdf
146,arxiv:2203.08319,Enhanced NeUtrino BEams from kaon Tagging (ENUBET),A. Longhin et al. (ENUBET Collaboration),2203.08319,https://arxiv.org/abs/2203.08319,AF | NF,AF: Accelerators for Neutrinos | NF: Artificial Neutrino Sources,2,https://www.slac.stanford.edu/econf/C210711/papers/2203.08319.pdf
147,arxiv:2203.11662,Enhancing HEP Research in Predominantly Undergraduate Institutions and Community Colleges,M. Bellis et al.,2203.11662,https://arxiv.org/abs/2203.11662,CEF,CEF: Career Pipeline and Development,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.11662.pdf
148,arxiv:2203.15729,"Evaluating the ILC SUSY Reach in the Most Challenging Scenario: Stau NLSP, Low ΔM , Lowest Cross Section",M. T. Núñez Pardo de Vera et al.,2203.15729,https://arxiv.org/abs/2203.15729,EF,EF: Beyond the Standard Model - Model Specific Explorations,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.15729.pdf
149,arxiv:2203.11110,Event Generators for High-Energy Physics Experiments,J. M. Campbell et al.,2203.11110,https://arxiv.org/abs/2203.11110,CF | CompF | EF | NF | TF,CF: General - cross-listed: | CompF: Theoretical Calculations and Simulations | EF: General - centered on this frontier | NF: General - cross-listed | TF: General - centered on this frontier,5,https://www.slac.stanford.edu/econf/C210711/papers/2203.11110.pdf
150,arxiv:2111.12119,Event-Based Anomaly Detection for New Physics Searches at the LHC using Machine Learning,S. V. Chekanov et al.,2111.12119,https://arxiv.org/abs/2111.12119,CompF | EF,CompF: Machine Learning | EF: Beyond the Standard Model - More General Explorations,2,https://www.slac.stanford.edu/econf/C210711/papers/2111.12119.pdf
151,arxiv:2111.12156,Event-Level Variables for Semivisible Jets using Anomalous Jet Tagging,"H. Beauchesne, G. Grilli di Cortona.",2111.12156,https://arxiv.org/abs/2111.12156,EF | TF,EF: Beyond the Standard Model - Dark Matter at Colliders | TF: Collider Phenomenology,2,https://www.slac.stanford.edu/econf/C210711/papers/2111.12156.pdf
152,arxiv:2203.14345,Evolution of HEP Processing Frameworks,C. D. Jones et al.,2203.14345,https://arxiv.org/abs/2203.14345,CompF,CompF: General - centered on this frontier:,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.14345.pdf
153,arxiv:2205.12198,Exotic Higgs Decays in the Type-II 2HDMs at Current and Future pp Colliders,F. Kling et al.,2205.12198,https://arxiv.org/abs/2205.12198,EF | TF,EF: Higgs Boson as a Portal to New Physics | TF: Collider Phenomenology,2,https://www.slac.stanford.edu/econf/C210711/papers/2205.12198.pdf
154,arxiv:2203.08330,Expected Sensitivity to Invisible Higgs Boson Decays at the ILC with the SiD Detector,C. Potter et al.,2203.08330,https://arxiv.org/abs/2203.08330,EF,EF: Higgs Boson Properties and Couplings,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08330.pdf
155,arxiv:2203.07089,"Experimental Searches for Muon to Electron Conversion in a Nucleus: COMET, DeeMe, and Mu2e",S. Middleton et al.,2203.07089,https://arxiv.org/abs/2203.07089,RPF,RPF: Charged Lepton Flavor Violation,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.07089.pdf
156,arxiv:2206.06632,Explainable AI for High Energy Physics,M. S. Neubauer et al.,2206.06632,https://arxiv.org/abs/2206.06632,CompF,CompF: Machine Learning,1,https://www.slac.stanford.edu/econf/C210711/papers/2206.06632.pdf
157,arxiv:2207.06905,Exploring Dark Sector Portals with High Intensity Experiments,B. Batell et al.,2207.06905,https://arxiv.org/abs/2207.06905,CF | RPF | TF,CF: Dark Matter: Particle-like | RPF: Dark Sector Studies at High Intensities | TF: Astro-Particle Physics and Cosmology,3,https://www.slac.stanford.edu/econf/C210711/papers/2207.06905.pdf
158,arxiv:2203.11665,Facilitating Non-HEP Career Transition,S. Malik et al.,2203.11665,https://arxiv.org/abs/2203.11665,CEF,CEF: Career Pipeline and Development,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.11665.pdf
159,arxiv:2203.15062,Fast (Optical) Links”,M. Newcomer et al.,2203.15062,https://arxiv.org/abs/2203.15062,IF,IF: Electronics and ASICs,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.15062.pdf
160,arxiv:2203.06253,Fast Cycling HTS Based Superconducting Accelerator Magnets: Feasibility Study and Readiness Demonstration Program Driven by Neutrino Physics and Muon Collider Needs,H. Piekarz et al.,2203.06253,https://arxiv.org/abs/2203.06253,AF,AF: Accelerator Technology - Magnets,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.06253.pdf
161,arxiv:2203.08554,Fast Timing With Silicon Carbide Low Gain Avalanche Detectors,P. Barletta et al.,2203.08554,https://arxiv.org/abs/2203.08554,IF,IF: Solid State Detectors and Tracking,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08554.pdf
162,arxiv:1906.02693,FCC-ee: Your Questions Answered,A. Blondel et al.,1906.02693,https://arxiv.org/abs/1906.02693,AF | EF | NF | RPF | TF,AF: Accelerators for Electroweak and Higgs | EF: General - centered on this frontier | NF: General - cross-listed | RPF: General - cross-listed | TF: General - cross-listed,5,https://www.slac.stanford.edu/econf/C210711/papers/1906.02693.pdf
163,arxiv:2203.07551,Fe-Based High Field Superconductors for Cost-Effective Future Accelerator Magnets,F. Kametani et al.,2203.07551,https://arxiv.org/abs/2203.07551,AF,AF: Accelerator Technology - Magnets,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.07551.pdf
164,arxiv:2204.00701,Feedback and Control Systems for Future Linear Colliders,D. Filippetto et al.,2204.00701,https://arxiv.org/abs/2204.00701,AF,AF: Accelerator Technology - RF,1,https://www.slac.stanford.edu/econf/C210711/papers/2204.00701.pdf
165,arxiv:2203.08309,Fiber-Optic Diagnostic System for Future Accelerator Magnets,M. Baldini et al.,2203.08309,https://arxiv.org/abs/2203.08309,AF,AF: Accelerator Technology - Magnets,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08309.pdf
166,arxiv:2203.07726,Flavor Model Building,"W. Altmannshofer, J. Zupan",2203.07726,https://arxiv.org/abs/2203.07726,TF,TF: Beyond-Standard-Model Model Building,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.07726.pdf
167,arxiv:2203.07339,FNAL PIP-II Accumulator Ring,W. Pellico et al.,2203.07339,https://arxiv.org/abs/2203.07339,AF,AF: Accelerators for Rare Processes and Physics Beyond Colliders,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.07339.pdf
168,arxiv:2203.08129,"Forward Physics, BFKL, Saturation Physics and Diffraction",M. Hentschinski et al.,2203.08129,https://arxiv.org/abs/2203.08129,EF,EF: QCD and Strong Interactions - Hadronic Structure and Forward QCD Processes,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08129.pdf
169,arxiv:2207.10618,"Frontiers of Quantum Gravity: Shared Challenges, Converging Directions",J. de Boer et al.,2207.10618,https://arxiv.org/abs/2207.10618,CF | TF,"CF: Cosmic Probes of Fundamental Physics | TF: String Theory, Quantum Gravity, and Black Holes",2,https://www.slac.stanford.edu/econf/C210711/papers/2207.10618.pdf
170,arxiv:2203.07088,Functions Beyond Multiple Polylogarithms for Precision Collider Physics,J. L. Bourjaily et al.,2203.07088,https://arxiv.org/abs/2203.07088,TF,TF: Scattering Amplitudes,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.07088.pdf
171,arxiv:2203.07479,Future Advances in Photon-Based Neutrino Detectors,J. R. Klein et al.,2203.07479,https://arxiv.org/abs/2203.07479,IF | NF,IF: Photon Detectors | NF: Neutrino Detectors,2,https://www.slac.stanford.edu/econf/C210711/papers/2203.07479.pdf
172,arxiv:2203.07804,Future Circular Hadron Collider FCC-hh: Overview and Status,M. Benedikt et al.,2203.07804,https://arxiv.org/abs/2203.07804,AF,AF: Multi-TeV Colliders,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.07804.pdf
173,arxiv:2203.08310,Future Circular Lepton Collider FCC-ee: Overview and Status,I. Agapov et al.,2203.08310,https://arxiv.org/abs/2203.08310,AF,AF: Accelerators for Electroweak and Higgs,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08310.pdf
174,arxiv:2203.08088,Future Collider Options for the US,P. C. Bhat,2203.08088,https://arxiv.org/abs/2203.08088,AF | EF | TF,AF: General - centered on this frontier | EF: General - centered on this frontier | TF: General - cross-listed,3,https://www.slac.stanford.edu/econf/C210711/papers/2203.08088.pdf
175,arxiv:2203.08228,Future Gravitational-Wave Detector Facilities,S. W. Ballmer et al.,2203.08228,https://arxiv.org/abs/2203.08228,CF,CF: Cosmic Probes of Fundamental Physics,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08228.pdf
176,external:https://cds.cern.ch/record/2806113,Future Physics Potential of LHCb,LHCb Collaboration.,,https://cds.cern.ch/record/2806113,IF | RPF,IF: General - cross-listed | RPF: General - centered on this frontier,2,https://www.slac.stanford.edu/econf/C210711/papers/CDS-2806113.pdf
177,arxiv:2203.06799,Future Prospects for Parton Showers,N. Darvishi et al.,2203.06799,https://arxiv.org/abs/2203.06799,TF,TF: Theory Techniques for Precision Physics,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.06799.pdf
178,arxiv:2107.06021,Future searches for SUSY at the LHC post Fermilab (g−2)_μ,A. Aboubrahim et al.,2107.06021,https://arxiv.org/abs/2107.06021,EF | TF,EF: Beyond the Standard Model - Model Specific Explorations | TF: Collider Phenomenology,2,https://www.slac.stanford.edu/econf/C210711/papers/2107.06021.pdf
179,arxiv:2205.09545,Generalized Symmetries in Quantum Field Theory and Beyond,C. Cordova et al.,2205.09545,https://arxiv.org/abs/2205.09545,TF,TF: Conformal Field Theory and Formal Quantum Field Theory,1,https://www.slac.stanford.edu/econf/C210711/papers/2205.09545.pdf
180,arxiv:2203.07883,Global Fit of 2HDM with Future Collider Results,A. Beniwal et al.,2203.07883,https://arxiv.org/abs/2203.07883,EF,EF: Beyond the Standard Model - Model Specific Explorations,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.07883.pdf
181,arxiv:2206.08326,Global SMEFT Fits at Future Colliders,J. de Blas et al.,2206.08326,https://arxiv.org/abs/2206.08326,EF,EF: Electroweak Precision Physics and Constraining New Physics,1,https://www.slac.stanford.edu/econf/C210711/papers/2206.08326.pdf
182,arxiv:2203.01396,Good Things to do with Extra Higgs Doublets,H. Davoudiasl et al.,2203.01396,https://arxiv.org/abs/2203.01396,EF,EF: Higgs Boson as a Portal to New Physics,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.01396.pdf
183,arxiv:2203.12852,"Graph Neural Networks in Particle Physics: Implementations, Innovations, and Challenges",S. Thais et al.,2203.12852,https://arxiv.org/abs/2203.12852,CompF,CompF: Machine Learning,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.12852.pdf
184,arxiv:2204.05194,Gravitational Waves and Scattering Amplitudes,A. Buonanno et al.,2204.05194,https://arxiv.org/abs/2204.05194,CF | TF,CF: Cosmic Probes of Fundamental Physics | TF: Scattering Amplitudes,2,https://www.slac.stanford.edu/econf/C210711/papers/2204.05194.pdf
185,arxiv:2203.07141,Hadron Spectroscopy at STCF,F. K. Guo et al.,2203.07141,https://arxiv.org/abs/2203.07141,RPF,RPF: Hadron Spectroscopy,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.07141.pdf
186,arxiv:2203.08290,Hadron Spectroscopy in Photoproduction,M. Albaladejo et al.,2203.08290,https://arxiv.org/abs/2203.08290,RPF,RPF: Hadron Spectroscopy,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08290.pdf
187,arxiv:2203.03230,Hadron Spectroscopy with Lattice QCD,J. Bulava et al.,2203.03230,https://arxiv.org/abs/2203.03230,RPF | TF,RPF: Hadron Spectroscopy | TF: Lattice Gauge Theory,2,https://www.slac.stanford.edu/econf/C210711/papers/2203.03230.pdf
188,arxiv:2201.11696,Hamiltonian Truncation,A. L. Fitzpatrick et al.,2201.11696,https://arxiv.org/abs/2201.11696,TF,TF: Conformal Field Theory and Formal Quantum Field Theory,1,https://www.slac.stanford.edu/econf/C210711/papers/2201.11696.pdf
189,arxiv:2203.06705,Heavy Neutral Lepton Searches at the Electron-Ion Collider,B. Batell et al.,2203.06705,https://arxiv.org/abs/2203.06705,EF | NF | RPF,EF: QCD and Strong Interactions - Heavy Ions | NF: Sterile Neutrinos | RPF: Baryon and Lepton Number Violation,3,https://www.slac.stanford.edu/econf/C210711/papers/2203.06705.pdf
190,arxiv:2202.06703,Heavy Neutrinos at Future Linear e+e− Colliders,K. Mękała et al.,2202.06703,https://arxiv.org/abs/2202.06703,EF | NF,EF: Beyond the Standard Model - Model Specific Explorations | NF: Neutrinos Beyond the Standard Model,2,https://www.slac.stanford.edu/econf/C210711/papers/2202.06703.pdf
191,arxiv:2203.07237,HEP Computing Collaborations for the Challenges of the Next Decade,S. Campana et al.,2203.07237,https://arxiv.org/abs/2203.07237,CompF,CompF: General - centered on this frontier:,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.07237.pdf
